,Price,Levy,Manufacturer,Model,Category,Leather interior,Fuel type,Engine volume,Mileage,Cylinders,Gear box type,Drive wheels,Wheel,Color,Airbags,Age
11716,5645,640,SUBARU,XV,Sedan,Yes,Petrol,2.0,105523 ,4.0,Automatic,4x4,Left wheel,Blue,0,11
11718,3763,879,FORD,Fiesta,Sedan,Yes,Petrol,1.6,47736 ,4.0,Automatic,Front,Left wheel,Grey,12,5
11719,10976,843,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.5,178000 ,4.0,Variator,Front,Left wheel,Golden,12,16
11723,16358,1141,JEEP,Compass,Jeep,Yes,Petrol,2.4,167510 ,4.0,Automatic,Front,Left wheel,Red,4,15
11724,17249,562,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,37000 ,4.0,Automatic,Front,Left wheel,Brown,8,9
11726,7840,1111,HONDA,FIT,Hatchback,Yes,Hybrid,1.3,59000 ,4.0,Variator,Front,Right-hand drive,Black,4,12
11728,9722,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,127515 ,4.0,Automatic,Front,Left wheel,Black,12,6
11730,21639,749,HYUNDAI,Sonata SPORT,Sedan,No,Petrol,2.4,92000 ,4.0,Tiptronic,Front,Left wheel,Grey,12,10
11731,16308,586,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,99000 ,4.0,Automatic,Front,Left wheel,Blue,7,12
11732,15718,836,SSANGYONG,Actyon,Jeep,Yes,Diesel,2.0,237003 ,4.0,Automatic,Front,Left wheel,Silver,4,14
11733,21012,0,FORD,Fusion,Sedan,No,Hybrid,2.0,156800 ,4.0,Automatic,Front,Left wheel,Black,12,11
11736,35168,308,TOYOTA,Aqua,Universal,Yes,Hybrid,1.5,31040 ,4.0,Automatic,Front,Left wheel,Black,4,9
11738,35237,891,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,120142 ,4.0,Automatic,Front,Left wheel,White,4,8
11739,13877,836,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,161240 ,4.0,Automatic,Front,Left wheel,White,4,14
11740,20695,697,FORD,Transit,Goods wagon,No,Diesel,2.2,272000 ,4.0,Manual,Front,Left wheel,White,2,12
11743,31361,1091,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,70000 ,4.0,Tiptronic,Front,Left wheel,Black,14,8
11746,392,831,HYUNDAI,Tucson,Jeep,Yes,Petrol,2.4,179746 ,4.0,Automatic,Front,Left wheel,White,0,13
11748,11917,0,BMW,320,Coupe,No,Petrol,2.0,170005 ,4.0,Tiptronic,Rear,Left wheel,Blue,8,21
11751,34560,345,HONDA,FIT,Universal,Yes,Hybrid,1.5,23779 ,4.0,Automatic,Front,Left wheel,Yellow,4,8
11752,470,753,HYUNDAI,Sonata,Jeep,Yes,Hybrid,2.4,123862 ,4.0,Automatic,Front,Left wheel,White,0,12
11753,188,640,VOLKSWAGEN,Scirocco,Sedan,Yes,Petrol,2.0,64930 ,4.0,Automatic,Front,Left wheel,Black,12,11
11755,23129,831,CHEVROLET,Captiva,Jeep,Yes,Petrol,2.4,81344 ,4.0,Automatic,Front,Left wheel,White,4,13
11757,470,353,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,115347 ,4.0,Automatic,Front,Left wheel,Grey,0,9
11758,22843,642,SSANGYONG,Korando,Jeep,Yes,Diesel,2.0,141641 ,4.0,Automatic,Front,Left wheel,White,4,12
11761,20385,639,FORD,Fusion,Sedan,Yes,Petrol,2.0,70600 ,4.0,Tiptronic,Front,Left wheel,White,8,10
11762,26657,0,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,32000 ,4.0,Automatic,Front,Left wheel,White,12,7
11763,8781,0,MITSUBISHI,Colt,Hatchback,No,Petrol,1.3,64862 ,4.0,Automatic,Front,Right-hand drive,Blue,2,16
11770,14740,474,CHEVROLET,Cruze,Sedan,No,Petrol,1.4,93000 ,4.0,Automatic,Front,Left wheel,Purple,8,11
11773,7665,1099,HYUNDAI,Grandeur,Sedan,Yes,LPG,2.7,68224 ,4.0,Automatic,Front,Left wheel,Silver,4,14
11775,4861,781,SUBARU,Forester,Jeep,Yes,Petrol,2.5,260133 ,4.0,Automatic,4x4,Left wheel,Silver,0,12
11776,1882,456,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,273651 ,4.0,Automatic,Front,Left wheel,Black,12,9
11779,17249,1528,FORD,Transit,Microbus,No,Diesel,2.4,168000 ,4.0,Manual,Rear,Left wheel,Blue,2,17
11783,8781,0,NISSAN,Tiida Latio,Sedan,Yes,Petrol,1.5,127000 ,4.0,Automatic,Front,Right-hand drive,Silver,4,18
11784,20382,891,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,44608 ,4.0,Automatic,Front,Left wheel,White,4,8
11785,15681,934,SUBARU,Forester,Jeep,Yes,Petrol,2.5,0 ,4.0,Variator,4x4,Left wheel,Silver,12,9
11786,26343,259,CHEVROLET,Volt,Hatchback,No,Plug-in Hybrid,1.4,66000 ,4.0,Automatic,Front,Left wheel,Silver,10,10
11787,16308,0,FORD,Escape,Jeep,No,Hybrid,2.5,149000 ,4.0,Automatic,4x4,Left wheel,White,12,16
11788,549,761,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,236539 ,4.0,Automatic,Front,Left wheel,White,0,14
11790,627,781,FORD,Escape,Jeep,Yes,Hybrid,2.5,239395 ,4.0,Automatic,Front,Left wheel,White,12,12
11791,11917,0,FORD,Transit,Microbus,No,Diesel,2.9,231000 ,4.0,Manual,Rear,Left wheel,White,2,19
11792,12544,0,TOYOTA,Camry,Sedan,No,Hybrid,2.4,0 ,4.0,Variator,Front,Left wheel,Grey,8,17
11793,3450,1017,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,50930 ,4.0,Automatic,Rear,Left wheel,Black,12,7
11794,3920,640,AUDI,A4,Sedan,Yes,Petrol,2.0,157584 ,4.0,Automatic,4x4,Left wheel,Black,0,11
11795,6586,1077,TOYOTA,CHR,Coupe,Yes,Petrol,2.0,5219 ,4.0,Automatic,Front,Left wheel,White,12,5
11797,19601,629,HYUNDAI,Elantra,Sedan,Yes,LPG,1.6,35607 ,4.0,Automatic,Front,Left wheel,White,4,9
11803,12074,0,TOYOTA,Prius,Sedan,Yes,Hybrid,1.5,167000 ,4.0,Variator,Front,Left wheel,Blue,8,16
11805,38016,770,HYUNDAI,Tucson,Jeep,Yes,Diesel,1.7,116082 ,4.0,Automatic,Front,Left wheel,White,4,8
11806,18189,0,FORD,C-MAX,Minivan,No,Plug-in Hybrid,2.0,117000 ,4.0,Automatic,Front,Left wheel,White,0,11
11807,15681,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,258706 ,4.0,Automatic,Front,Left wheel,Silver,4,8
11810,11604,1246,FORD,Escape,Jeep,No,Hybrid,2.3,156423 ,4.0,Automatic,Front,Left wheel,Black,6,16
11811,25264,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,198916 ,4.0,Automatic,Front,Left wheel,Yellow,4,10
11814,9095,1047,OPEL,Astra H,Hatchback,No,Petrol,1.6,190000 ,4.0,Manual,Front,Left wheel,Silver,6,17
11815,21558,503,TOYOTA,Aqua,Hatchback,Yes,Petrol,1.5,20400 ,4.0,Automatic,Front,Left wheel,Blue,4,12
11816,14426,394,LEXUS,ES 300,Sedan,Yes,Hybrid,2.5,176213 ,4.0,Automatic,Front,Left wheel,Black,12,10
11817,13485,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,72369 ,4.0,Automatic,Front,Left wheel,Silver,4,9
11818,15681,585,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.8,70978 ,4.0,Automatic,Front,Left wheel,Blue,0,11
11819,28589,640,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,179067 ,4.0,Automatic,Front,Left wheel,Black,4,11
11820,10976,0,SUBARU,Outback,Hatchback,No,Petrol,2.5,131000 ,4.0,Tiptronic,4x4,Right-hand drive,Blue,4,17
11821,16286,629,HYUNDAI,Accent,Sedan,Yes,Diesel,1.6,39712 ,4.0,Automatic,Front,Left wheel,Red,4,9
11822,5018,364,CHEVROLET,Spark,Hatchback,Yes,Petrol,1.0,129436 ,4.0,Automatic,Front,Left wheel,Silver,4,12
11826,29777,831,CHEVROLET,Aveo,Sedan,Yes,Petrol,1.6,67122 ,4.0,Automatic,Front,Left wheel,Black,4,7
11828,15367,0,TOYOTA,Prius,Sedan,No,LPG,1.8,110000 ,4.0,Variator,Front,Left wheel,Silver,4,13
11829,19757,586,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,182000 ,4.0,Variator,Front,Left wheel,White,12,12
11831,20385,0,FORD,C-MAX,Hatchback,No,Hybrid,2.0,117000 ,4.0,Automatic,Front,Left wheel,Black,8,12
11833,34,0,TOYOTA,Sai,Hatchback,No,Petrol,1.3,134000 ,4.0,Automatic,Front,Right-hand drive,White,6,19
11834,28225,900,FIAT,500X Lounge,Jeep,Yes,Petrol,2.4,46000 ,4.0,Tiptronic,4x4,Left wheel,Silver,12,9
11835,19416,583,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,141799 ,4.0,Automatic,Front,Left wheel,White,4,13
11838,15681,0,KIA,Optima,Sedan,No,Petrol,2.4,61680 ,4.0,Automatic,Front,Left wheel,Blue,6,9
11839,282,1077,TOYOTA,CHR,Jeep,Yes,Petrol,2.0,3237 ,4.0,Automatic,Front,Left wheel,Black,12,5
11840,1098,629,NISSAN,Juke,Jeep,Yes,Petrol,1.6,103498 ,4.0,Automatic,4x4,Left wheel,Black,0,9
11841,12231,0,HONDA,FIT,Hatchback,No,Hybrid,1.3,119000 ,4.0,Tiptronic,Front,Right-hand drive,Silver,4,13
11842,5959,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,0 ,4.0,Automatic,Front,Left wheel,Black,12,10
11843,16618,585,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,119791 ,4.0,Automatic,Front,Left wheel,Black,4,11
11844,11604,836,DODGE,Caliber,Hatchback,No,Petrol,2.0,131000 ,4.0,Tiptronic,Front,Left wheel,White,8,14
11847,5959,730,HYUNDAI,Veloster,Sedan,Yes,Petrol,1.6,91677 ,4.0,Automatic,Front,Left wheel,Red,12,8
11848,18519,584,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,1000 ,4.0,Automatic,Front,Left wheel,Blue,4,10
11849,23602,730,CHEVROLET,Orlando,Jeep,Yes,Diesel,1.6,110112 ,4.0,Automatic,Front,Left wheel,White,4,8
11850,15681,0,TOYOTA,Camry,Sedan,No,Hybrid,2.4,200000 ,4.0,Automatic,Front,Left wheel,Grey,6,17
11851,15323,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,117061 ,4.0,Automatic,Front,Left wheel,Grey,4,12
11852,13172,0,FIAT,500,Coupe,No,Petrol,1.4,96000 ,4.0,Tiptronic,Front,Left wheel,Red,8,11
11855,10976,473,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.4,83000 ,4.0,Automatic,Front,Left wheel,White,6,10
11856,10697,586,CHEVROLET,Cruze,Sedan,Yes,Petrol,1.8,165392 ,4.0,Automatic,Front,Left wheel,White,4,12
11857,22580,0,NISSAN,Juke,Jeep,No,Petrol,1.6,77000 ,4.0,Tiptronic,Front,Left wheel,Black,4,9
11859,14069,687,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,100403 ,4.0,Automatic,Front,Left wheel,White,4,14
11862,5883,790,DAEWOO,Lacetti,Sedan,Yes,Petrol,1.6,117685 ,4.0,Automatic,Front,Left wheel,Silver,4,15
11863,40045,730,SSANGYONG,Actyon,Jeep,Yes,Petrol,1.6,76398 ,4.0,Automatic,Front,Left wheel,White,4,8
11864,28852,1017,HYUNDAI,Elantra,Sedan,Yes,Petrol,2.0,36400 ,4.0,Tiptronic,Front,Left wheel,Silver,12,7
11865,30,0,HONDA,FIT,Hatchback,No,Petrol,1.5,0 ,4.0,Automatic,Front,Right-hand drive,Silver,4,21
11866,4704,1017,HYUNDAI,Elantra,Sedan,Yes,Petrol,2.0,45242 ,4.0,Automatic,Front,Left wheel,Grey,12,7
11867,2430,584,HONDA,Civic,Sedan,Yes,Petrol,1.8,148640 ,4.0,Automatic,Front,Left wheel,Blue,12,10
11868,706,1325,NISSAN,Altima,Jeep,Yes,Petrol,2.5,30555 ,4.0,Automatic,Front,Left wheel,Silver,12,5
11869,7840,0,HONDA,FIT,Hatchback,No,Petrol,1.3,123456 ,4.0,Variator,Front,Right-hand drive,Grey,6,19
11870,11917,382,HYUNDAI,Sonata,Sedan,No,Hybrid,2.4,152000 ,4.0,Automatic,Front,Left wheel,Black,10,10
11872,6429,1282,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,76113 ,4.0,Automatic,Front,Left wheel,Silver,4,17
11873,188,1091,TOYOTA,Camry,Sedan,Yes,Petrol,2.5,96995 ,4.0,Automatic,Front,Left wheel,Black,12,8
11874,7683,1282,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,64554 ,4.0,Automatic,Front,Left wheel,Black,4,17
11875,627,1325,MAZDA,CX-9,Jeep,Yes,Petrol,2.5,14186 ,4.0,Automatic,Front,Left wheel,White,12,5
11877,13172,1024,SUBARU,Forester,Jeep,No,Petrol,2.5,232000 ,4.0,Tiptronic,4x4,Left wheel,Silver,5,14
11878,18503,0,VOLKSWAGEN,Jetta,Sedan,Yes,Petrol,1.8,120000 ,4.0,Tiptronic,Front,Left wheel,White,12,10
11881,3607,831,CHEVROLET,Malibu,Sedan,Yes,Petrol,1.5,64600 ,4.0,Automatic,Front,Left wheel,Grey,12,6
11882,45,0,HONDA,FIT,Hatchback,No,Petrol,1.3,124000 ,4.0,Automatic,Front,Right-hand drive,Blue,4,17
11884,15837,730,FORD,Escape,Jeep,No,Petrol,1.6,0 ,4.0,Automatic,4x4,Left wheel,Black,0,8
11886,27425,730,CHEVROLET,Orlando,Jeep,Yes,Diesel,1.6,77836 ,4.0,Automatic,Front,Left wheel,Grey,4,8
11887,21953,862,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,61142 ,4.0,Automatic,Front,Left wheel,Silver,4,13
11888,15681,690,CHEVROLET,Malibu LT,Sedan,No,Petrol,1.5,71671 ,4.0,Automatic,Front,Left wheel,Silver,8,8
11891,25000,0,NISSAN,Qashqai Advance CVT,Jeep,Yes,Petrol,2.0,35447 ,4.0,Automatic,4x4,Left wheel,Red,12,6
11892,392,1017,FORD,Escape,Jeep,Yes,Petrol,2.0,110702 ,4.0,Automatic,Front,Left wheel,Black,12,7
11893,26030,0,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,148800 ,4.0,Automatic,Front,Left wheel,Grey,8,12
11895,34905,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,132023 ,4.0,Automatic,Front,Left wheel,Grey,4,10
11896,13172,397,TOYOTA,Prius V,Hatchback,No,Hybrid,1.8,23000 ,4.0,Variator,Front,Left wheel,Yellow,12,8
11897,10192,531,HYUNDAI,Accent,Hatchback,Yes,Diesel,1.6,52352 ,4.0,Automatic,Front,Left wheel,Black,4,12
11899,14426,761,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,162424 ,4.0,Automatic,Front,Left wheel,White,0,14
11901,10036,0,SUBARU,Forester,Jeep,No,Petrol,2.0,2147483647 ,4.0,Tiptronic,4x4,Right-hand drive,White,12,19
11903,23991,765,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,40602 ,4.0,Automatic,Front,Left wheel,Grey,4,9
11904,39201,518,TOYOTA,RAV 4,Jeep,Yes,Hybrid,2.5,115000 ,4.0,Tiptronic,4x4,Left wheel,Black,12,8
11905,9879,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,38600 ,4.0,Automatic,Front,Left wheel,Silver,4,9
11909,28921,751,JEEP,Compass,Jeep,Yes,Petrol,2.4,135000 ,4.0,Automatic,Front,Left wheel,White,4,11
11910,32302,639,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,42367 ,4.0,Automatic,Front,Left wheel,Red,4,10
11912,862,530,MINI,Cooper S Cabrio,Hatchback,Yes,Petrol,1.6,0 ,4.0,Automatic,Front,Left wheel,Black,12,11
11913,9565,397,LEXUS,CT 200h,Hatchback,Yes,Hybrid,1.8,71904 ,4.0,Automatic,Front,Left wheel,White,0,8
11915,37611,1091,CHEVROLET,Impala,Sedan,Yes,Petrol,2.5,136469 ,4.0,Automatic,Front,Left wheel,Silver,4,8
11916,6743,1277,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,57555 ,4.0,Automatic,Front,Left wheel,White,12,6
11917,18817,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058 ,4.0,Automatic,Front,Left wheel,White,12,6
11918,1333,585,LEXUS,CT 200h,Sedan,Yes,Hybrid,1.8,0 ,4.0,Automatic,Front,Left wheel,Red,0,11
11919,10349,639,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,571919 ,4.0,Automatic,Front,Left wheel,White,4,10
11921,18503,0,FORD,Transit T330,Microbus,No,Diesel,2.4,185641 ,4.0,Manual,Rear,Left wheel,White,4,20
11922,39201,1079,MITSUBISHI,Outlander,Jeep,No,Petrol,2.0,13000 ,4.0,Tiptronic,4x4,Left wheel,Red,12,6
11923,12544,0,HONDA,FIT,Coupe,No,Hybrid,1.3,140000 ,4.0,Automatic,Front,Right-hand drive,Silver,10,12
11924,15681,831,KIA,Optima,Sedan,No,Hybrid,2.4,171200 ,4.0,Automatic,Front,Left wheel,Black,8,13
11926,13015,730,HYUNDAI,Accent SE,Hatchback,No,Petrol,1.6,74509 ,4.0,Automatic,Front,Left wheel,Blue,6,8
11928,9722,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,377149 ,4.0,Automatic,Front,Left wheel,Orange,4,9
11930,9565,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,38000 ,4.0,Automatic,Front,Left wheel,Orange,4,9
11931,16160,531,HYUNDAI,Elantra,Sedan,Yes,Petrol,1.6,68976 ,4.0,Automatic,Front,Left wheel,White,4,12
11933,36899,777,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,86227 ,4.0,Automatic,Front,Left wheel,Silver,4,10
11935,39201,0,MAZDA,Mazda 6,Sedan,Yes,Petrol,2.5,23000 ,4.0,Automatic,Front,Left wheel,Red,6,8
11936,5018,645,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,489584 ,4.0,Automatic,Front,Left wheel,Grey,12,13
11937,29009,891,HYUNDAI,Tucson SE,Jeep,No,Petrol,2.0,52019 ,4.0,Automatic,4x4,Left wheel,White,10,8
11938,157,749,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.4,144123 ,4.0,Automatic,Front,Left wheel,Silver,12,10
11939,7053,502,TOYOTA,Aqua,Hatchback,Yes,Hybrid,1.5,152517 ,4.0,Automatic,Front,Left wheel,Black,4,11
11944,470,586,TOYOTA,Prius,Hatchback,Yes,Hybrid,1.8,373634 ,4.0,Automatic,Front,Left wheel,White,12,12
11945,706,574,HONDA,Insight,Hatchback,Yes,Hybrid,1.3,189571 ,4.0,Automatic,Front,Left wheel,Silver,0,14
11946,11133,394,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,179381 ,4.0,Automatic,Front,Left wheel,Black,12,10
11947,282,753,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,277614 ,4.0,Automatic,Front,Left wheel,White,0,12
11948,110,765,MERCEDES-BENZ,C 300,Sedan,Yes,Petrol,2.0,64003 ,4.0,Automatic,Rear,Left wheel,Silver,12,9
11950,20385,583,MINI,Countryman sport,Hatchback,Yes,Petrol,1.6,141000 ,4.0,Tiptronic,4x4,Left wheel,Red,10,13
11951,14834,707,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,40973 ,4.0,Automatic,Front,Left wheel,White,4,13
11953,16935,1141,TOYOTA,Camry,Sedan,No,Petrol,2.4,125000 ,4.0,Automatic,4x4,Left wheel,Golden,4,15
11954,11604,0,TOYOTA,Prius,Sedan,Yes,Hybrid,1.5,300000 ,4.0,Variator,Front,Left wheel,Silver,16,17
11955,10976,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,571321 ,4.0,Automatic,Front,Left wheel,White,4,9
11956,13485,765,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,72369 ,4.0,Automatic,Front,Left wheel,Silver,4,9
11957,18503,531,NISSAN,Juke,Jeep,No,Petrol,1.6,76053 ,4.0,Tiptronic,Front,Left wheel,Silver,8,12
11958,1803,765,CHEVROLET,1500,Sedan,Yes,Petrol,2.0,55040 ,4.0,Automatic,Front,Left wheel,Silver,12,9
11961,20385,642,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,82000 ,4.0,Tiptronic,Front,Left wheel,Silver,9,12
11962,20237,836,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,130001 ,4.0,Automatic,Front,Left wheel,Grey,4,14
11963,13495,707,HYUNDAI,Sonata,Sedan,Yes,Petrol,2.0,91678 ,4.0,Automatic,Front,Left wheel,Grey,4,13
11964,18817,609,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,35058 ,4.0,Automatic,Front,Left wheel,White,12,6
11966,706,574,HONDA,Insight,Hatchback,Yes,Hybrid,1.3,189571 ,4.0,Automatic,Front,Left wheel,Silver,0,14
11967,26971,836,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,140013 ,4.0,Automatic,Front,Left wheel,Red,4,14
11970,1411,640,SUZUKI,SX4,Sedan,Yes,Petrol,2.0,193504 ,4.0,Automatic,Front,Left wheel,Red,0,11
11972,15681,584,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,73688 ,4.0,Automatic,Front,Left wheel,Silver,0,10
11974,12544,584,CHEVROLET,Cruze,Sedan,No,Petrol,1.8,87685 ,4.0,Automatic,Front,Left wheel,Blue,0,10
11977,19657,836,HYUNDAI,Santa FE,Jeep,Yes,Diesel,2.0,188000 ,4.0,Automatic,Front,Left wheel,Grey,4,14
11978,13172,697,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,147200 ,4.0,Automatic,Front,Left wheel,White,8,9
11980,16151,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,227033 ,4.0,Automatic,Front,Left wheel,White,4,8
11981,9408,585,HYUNDAI,Elantra,Jeep,Yes,Petrol,1.8,207606 ,4.0,Automatic,Front,Left wheel,Grey,12,11
11983,18503,473,FIAT,500L,Hatchback,No,Petrol,1.4,57500 ,4.0,Automatic,Front,Left wheel,Red,6,10
11984,188,831,HYUNDAI,Sonata,Sedan,Yes,Hybrid,2.4,108826 ,4.0,Automatic,Front,Left wheel,Black,0,13
11986,30251,765,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,123097 ,4.0,Automatic,Front,Left wheel,Grey,4,9
11987,16621,0,HYUNDAI,Elantra,Sedan,No,Petrol,1.8,109000 ,4.0,Automatic,Front,Left wheel,Silver,8,12
11990,27582,0,MERCEDES-BENZ,Sprinter 313,Microbus,No,Diesel,2.2,300000 ,4.0,Automatic,Rear,Left wheel,White,2,16
11991,23239,707,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,101708 ,4.0,Automatic,Front,Left wheel,White,4,13
11992,18029,836,HYUNDAI,Tucson,Jeep,Yes,Diesel,2.0,195953 ,4.0,Automatic,Front,Left wheel,White,4,14
11993,13172,1024,HYUNDAI,H1,Minivan,Yes,Diesel,2.5,115078 ,4.0,Automatic,Front,Left wheel,Silver,4,14
11994,29254,751,JEEP,Compass,Jeep,Yes,Petrol,2.4,76000 ,4.0,Automatic,Front,Left wheel,Black,4,11
11995,11099,836,HYUNDAI,Genesis,Coupe,Yes,Petrol,2.0,111849 ,4.0,Automatic,Front,Left wheel,White,4,14
11996,470,1017,MERCEDES-BENZ,E 300,Sedan,Yes,Petrol,2.0,35874 ,4.0,Automatic,4x4,Left wheel,Black,12,7
11998,9408,965,CHEVROLET,Captiva,Jeep,Yes,Diesel,2.0,63648 ,4.0,Automatic,Front,Left wheel,Black,4,15
12002,12544,0,HONDA,FIT,Hatchback,No,Hybrid,1.3,123000 ,4.0,Automatic,Front,Right-hand drive,Blue,4,13
12004,6968,0,BMW,323,Universal,No,Petrol,2.3,200000 ,4.0,Tiptronic,4x4,Right-hand drive,Blue,6,21
12006,1254,1202,DODGE,Journey,Jeep,Yes,Petrol,2.4,74499 ,4.0,Automatic,Front,Left wheel,Black,12,7
12007,24148,0,TOYOTA,Camry,Sedan,No,Hybrid,2.4,154000 ,4.0,Automatic,Front,Left wheel,Silver,8,12
12008,38251,640,SSANGYONG,REXTON,Jeep,Yes,Diesel,2.0,97000 ,4.0,Automatic,Front,Left wheel,Silver,4,11
12009,16148,836,SSANGYONG,Actyon,Jeep,Yes,Diesel,2.0,163372 ,4.0,Automatic,Front,Left wheel,White,4,14
12010,7213,0,NISSAN,Note,Hatchback,No,Petrol,1.5,145000 ,4.0,Automatic,Front,Right-hand drive,Green,4,18
12012,25274,503,TOYOTA,Aqua,Hatchback,Yes,Hybrid,1.5,88836 ,4.0,Automatic,Front,Left wheel,White,4,12
12014,18189,0,OPEL,Astra,Coupe,Yes,Diesel,1.9,140000 ,4.0,Manual,Front,Left wheel,Red,4,16
12015,17249,0,FORD,Transit,Microbus,No,Diesel,2.4,165000 ,4.0,Manual,Rear,Left wheel,Blue,2,17
12016,7840,0,HONDA,FIT,Hatchback,No,Petrol,1.5,209000 ,4.0,Tiptronic,4x4,Right-hand drive,White,2,21
12017,14583,834,TOYOTA,Tacoma,Jeep,Yes,Petrol,2.7,265558 ,4.0,Automatic,Rear,Left wheel,White,12,11
12018,16308,308,TOYOTA,Prius,Hatchback,No,Hybrid,1.8,88447 ,4.0,Automatic,Front,Left wheel,Silver,12,10
12020,13350,0,TOYOTA,Prius,Sedan,Yes,Hybrid,1.5,15000 ,4.0,Automatic,Front,Left wheel,Golden,10,15
12023,4547,475,CHEVROLET,Volt,Hatchback,Yes,Hybrid,1.4,162190 ,4.0,Automatic,Front,Left wheel,Blue,0,12
12024,282,640,FORD,Fusion,Sedan,Yes,Hybrid,2.0,174619 ,4.0,Automatic,Front,Left wheel,Grey,0,11
12026,12231,650,CHEVROLET,Cruze RS,Sedan,No,Petrol,1.4,9000 ,4.0,Tiptronic,Front,Left wheel,Carnelian red,12,8
12027,27689,749,JEEP,Compass,Jeep,Yes,Petrol,2.4,140555 ,4.0,Automatic,Front,Left wheel,Grey,4,10
12029,15681,891,HYUNDAI,Sonata,Sedan,Yes,LPG,2.0,267311 ,4.0,Automatic,Front,Left wheel,Silver,4,8
12030,627,1275,JEEP,Cherokee,Sedan,Yes,Petrol,2.4,24805 ,4.0,Automatic,Front,Left wheel,Silver,12,5
12032,16621,0,FORD,Transit,Microbus,No,Diesel,2.4,180000 ,4.0,Manual,Rear,Left wheel,White,2,20
12033,627,645,HYUNDAI,Elantra,Jeep,Yes,Petrol,1.8,172502 ,4.0,Automatic,Front,Left wheel,Black,12,13
12036,1254,462,TOYOTA,Prius,Sedan,Yes,Hybrid,1.8,7518 ,4.0,Automatic,4x4,Left wheel,White,12,5
12037,23521,642,MAZDA,CX-5,Jeep,No,Petrol,2.0,105760 ,4.0,Tiptronic,4x4,Left wheel,Grey,12,12
12038,470,605,TOYOTA,Camry,Sedan,Yes,Hybrid,2.5,3541 ,4.0,Automatic,Front,Left wheel,Black,12,4
12041,9095,0,OPEL,Zafira,Minivan,No,Petrol,1.6,287140 ,4.0,Manual,Front,Left wheel,White,4,19
12044,28980,0,TOYOTA,Camry XLE,Sedan,No,Hybrid,2.5,145000 ,4.0,Automatic,Front,Left wheel,Black,8,10
